"points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games","player","position","salary","Eff"
-1.03155681186111,-1.05456438470752,-0.444418215924952,-0.769910411602262,-1.05411813466333,0.851732143101077,0.164657058518491,1.25011488130243,22,"Anderson Varejao","C",458575,-5.67623052154071
-0.491065526741497,0.462390096823805,1.35972167411923,-0.0655329646144242,1.19726750652329,0.724997236886377,0.426972629066514,-0.116998269696947,70,"Andrew Bogut","C",1.2e+07,0.623573359445888
-0.173343919373785,0.00256338217540429,-0.429129423663847,-0.296687358063948,0.327086136081173,0.355536049728249,-0.739984110299685,0.421510213122959,46,"Festus Ezeli","C",2008748,-0.877217387802871
-0.142634258079129,-0.72069677834767,-0.261620076707844,-0.664274609490463,-0.660571936958225,-0.310446760273401,0.538900837669845,0.285875520415009,72,"Marreese Speights","C",3815000,-2.01587094860935
-0.462686509384381,-0.633571697315286,-0.768152325072809,-0.784480867065959,-0.734953520716922,0.826965411009986,0.27330847827211,0.854335588075439,54,"Boban Marjanovic","C",1200000,-4.51738720492197
-1.05202410316715,-1.49241825881418,-0.866388882331468,-0.848590871106223,-1.36570935099068,0.995874523871231,0.831052433007354,1.50875790986988,30,"Matt Bonner","C",1499187,-7.56722677727278
0.144670985037174,0.557855918158412,1.75519858729871,0.797249560484823,0.635130864713771,-0.363258771367643,0.106769007010415,-0.550790416833308,61,"Tim Duncan","C",5e+06,3.36160730969921
0.959379128669148,0.80336184252267,-0.753177240124842,-0.510840605918489,-0.772688568087188,-0.370415475598843,0.127556573724572,-0.441523412088015,82,"Enes Kanter","C",16400000,0.673790268815524
-1.23743368323365,-1.52431489864977,-1.19793726307945,-1.4255809074686,-1.41926409129694,1.25741121475316,0.870891286917015,0.760054406122002,5,"Nazr Mohammed","C",352750,-6.60166863873991
0.0240136382901578,0.345625611711396,-0.341437279480505,0.0890179379826414,0.368125366424559,0.442152311144648,-0.35415347080504,0.0862212527489071,80,"Steven Adams","C",2279040,-0.0541562844142159
-0.469308280101041,-0.248449305226372,-0.276969538779509,0.834296734950713,0.401597079115973,0.709818768219122,0.392825040001091,0.0612644692906444,60,"Cole Aldrich","C",1100600,-0.729123771500216
0.973033777818803,2.60733556524794,0.0938096748996855,0.4852302519133,2.27392644151152,0.491906906863359,-4.60824459494406,-0.422313724472057,77,"DeAndre Jordan","C",19500000,7.26580583767609
-1.20471434557485,-1.36670797240335,-0.872889830973585,-1.4255809074686,-1.1357389955579,1.13625818882991,0.870891286917015,1.1300020197386,17,"Jeff Ayres","C",317232,-6.99058936004467
-1.00898259350886,-1.30103841980067,-0.438138890531998,-1.24527152110536,-1.3188489532227,0.748640620771908,0.870891286917015,0.909795106871578,16,"Chris Kaman","C",5e+06,-5.87821205358737
0.259248005334447,0.6633278139762,1.84799501533693,0.966816804277844,0.246157710909993,-0.0415011920964181,-0.878131567653438,-1.15370479370185,82,"Mason Plumlee","C",1415520,5.2972053907088
-0.550327592399003,-0.531766517883626,-1.10042303344769,-1.00132352779038,-0.190655343094455,0.63145391414972,0.238156548351821,0.733629576577959,34,"JaVale McGee","C",1270964,-3.94676507157051
